Name,URL,Cuisine,Address,Full_URL,Full_URL,Full_URL
Malecon,/ny/new-york/146680-malecon/menu/,Dominican,"5592 Broadway, New York, NY, 10463, 101 Dyckman St, New York, NY, 10040, 119 7th Ave, New York, NY, 10011, 117 Dyckman St, New York, NY, 10040, 1221 6th Ave, New York, NY, 10020, 205 E Houston St, New York, NY, 10002, 31-05 Astoria Blvd, New York, NY, 11102, 200 W 44th St, New York, NY, 10036, 3869 10th Ave, New York, NY, 10034, 11 Holden Blvd, New York, NY, 10314, 2344 Arthur Ave, New York, NY, 10458, 113 W 116th St, New York, NY, 10026, 1345 Amsterdam Ave, New York, NY, 10027, 167 3rd Ave, New York, NY, 10003, 1777 1st Avenue, New York, NY, 10128, 597 W 207th St, New York, NY, 10034, 1280 Amsterdam Ave, New York, NY, 10027, 1501 Broadway, New York, NY, 10036, 1822 Amsterdam Ave, New York, NY, 10031, 118 E 31st St, New York, NY, 10016, 528 W 145th St, New York, NY, 10031, 112 W 116th St, New York, NY, 10026, 163 W 23rd St, New York, NY, 10011, 5 Times Sq, New York, NY, 10036, 45 E 34th Street, New York, NY, 10016, 4181 Broadway, New York, NY, 10033, 1233 1st Ave, New York, NY, 10065, 250 W 50th St, New York, NY, 10019, 209 W 38th St, New York, NY, 10018, 301 W 154th St, New York, NY, 10039, 8416 Northern Blvd, New York, NY, 11372, 19 W 44th St, New York, NY, 10036, 37 Spring St, New York, NY, 10012, 48 W 55th St, New York, NY, 10019, 212 W 79th St, New York, NY, 10024, 119 W 56th St, New York, NY, 10019, 700 2nd Ave, New York, NY, 10016, 346 E 21st St, New York, NY, 10010, 32 Spring St, New York, NY, 10012, 43 W 65th St, New York, NY, 10023, 1342 St Nicholas Ave, New York, NY, 10033, 155 E 55th St, New York, NY, 10022, 62 Prince St, New York, NY, 10012, 1317 1st Ave, New York, NY, 10021, 1685 Amsterdam Ave, New York, NY, 10031, 3829 Broadway, New York, NY, 10032, 1232 St Nicholas Ave, New York, NY, 10032, 4840 Broadway Ave, New York, NY, 10034, 39 W 46th St, New York, NY, 10036, 135 E 50th St, New York, NY, 10022, 12 E 22nd St, New York, NY, 10010, 595 W 207th St, New York, NY, 10034, 242 E 14th St, New York, NY, 10003, 180 Prince St, New York, NY, 10012, 502 Amsterdam Ave, New York, NY, 10024, 209 8th Ave, New York, NY, 10011, 173 Avenue A Frnt 1, New York, NY, 10009, 145 W 72nd St, New York, NY, 10023, 300 East 92nd St, New York, NY, 10128, 2261 2nd Ave, New York, NY, 10035, 481 8th Ave, New York, NY, 10001, 2529 Adam Clayton Powell Jr Blvd, New York, NY, 10039, 336 Lexington Ave, New York, NY, 10016, 2651 Broadway Ave, New York, NY, 10025, 2501 Webster Ave, New York, NY, 10458, 3340 Broadway Ave, New York, NY, 10031, 665 9th Ave, New York, NY, 10036, 227 Sullivan St, New York, NY, 10012, 55 W 35th St, New York, NY, 10001, 614 9th Ave, New York, NY, 10036, 3771 Broadway, New York, NY, 10032, 606 W 207th St, New York, NY, 10034, 330 W 46th St, New York, NY, 10036, 253 Sherman Ave, New York, NY, 10034, 548 3rd Ave, New York, NY, 10016, 117 W 57th St, New York, NY, 10019, 90 University Pl, New York, NY, 10003, 1309 3rd Ave, New York, NY, 10021, 900 7th Ave, New York, NY, 10019, 4060 Broadway Ave, New York, NY, 10032, 359 W Broadway Ave, New York, NY, 10013, 80 Beekman St, New York, NY, 10038, 242 W 16th St, New York, NY, 10011, 1125 Lexington Ave, New York, NY, 10075, 823 2nd Ave, New York, NY, 10017, 960 Madison Ave, New York, NY, 10021, 136 W 46th St, New York, NY, 10036, 1551 2nd Ave, New York, NY, 10028, 342 E 11th St, New York, NY, 10003, 224 W 51st Street, New York, NY, 10019, 792 9th Ave, New York, NY, 10019, 1490 St Nicholas Ave, New York, NY, 10033, 560 3rd Ave, New York, NY, 10016, 250 E 58th St, New York, NY, 10022, 584 Amsterdam Ave, New York, NY, 10024, 1477 1st Ave, New York, NY, 10075, 113 Rivington St, New York, NY, 10002, 1271 Broadway Ave, New York, NY, 10001, 222 Thompson St, New York, NY, 10012, 1090 Madison Ave, New York, NY, 10028, 283 Amsterdam Ave, New York, NY, 10023, 934 Columbus Ave, New York, NY, 10025, 233 Dyckman St, New York, NY, 10034, 5189 Broadway Ave, New York, NY, 10463, 164 William St, New York, NY, 10038, 45 W 46th St, New York, NY, 10036, 60 W 45th St, New York, NY, 10036, 158 9th Ave, New York, NY, 10011, 7 W 36th St, New York, NY, 10018, 138 W 72nd St, New York, NY, 10023, 4059 Broadway Ave, New York, NY, 10032, 3903 Broadway #3905, New York, NY, 10032, 2892 Broadway, New York, NY, 10025, 236 E 53rd St, New York, NY, 10022, 666 Amsterdam Ave, New York, NY, 10025, 1 Central Park West, New York, NY, 10023, 319 W 51st St, New York, NY, 10019, 106 W 73rd St, New York, NY, 10023, 1814 2nd Ave, New York, NY, 10128, 353 Grand St, New York, NY, 10002, 3715 30th Ave, New York, NY, 11103, 475 W Broadway, New York, NY, 10012, 4247 Broadway Ave, New York, NY, 10033, 142 W 49th St, New York, NY, 10019, 157-18 Northern Blvd, New York, NY, 11354, 21525 73rd Ave, New York, NY, 11364, 939 8th Ave, New York, NY, 10019, 251 W 55th St, New York, NY, 10019, 158 Nagle Ave, New York, NY, 10040, 3666 Broadway, New York, NY, 10031, 79 MacDougal St, New York, NY, 10012, 129 MacDougal St, New York, NY, 10012, 106 E 57th St, New York, NY, 10022, 10 W 46th St, New York, NY, 10036, 2131 Broadway, New York, NY, 10023, 4480 Broadway Ave, New York, NY, 10040, 1501 Broadway, New York, NY, 10036, 185 Orchard St, New York, NY, 10002, 261 W 125th St, New York, NY, 10027, 988 2nd Ave, New York, NY, 10022, 370 W 51st St, New York, NY, 10019, 10 S William St, New York, NY, 10004, 1675 Lexington Ave, New York, NY, 10029, 135 W 50th St, New York, NY, 10020, 9 Saint Marks Pl, New York, NY, 10003, 113 St Marks Pl, New York, NY, 10009, 85 Kenmare St, New York, NY, 10012, 1582 3rd Ave, New York, NY, 10128, 800 Lexington Ave, New York, NY, 10065, 97-22 Roosevelt Ave, New York, NY, 11368, 1267 1st Ave, New York, NY, 10065, 208 1st Ave, New York, NY, 10009, 9 E 17th St, New York, NY, 10003, 101 St Marks Pl, New York, NY, 10009, 800 6th Ave, New York, NY, 10001, 760 8th Ave, New York, NY, 10036, 3424 Broadway Ave, New York, NY, 10031, 4973 Broadway Ave, New York, NY, 10034, 2257 2nd Ave, New York, NY, 10029, 1326 2nd Ave, New York, NY, 10021, 346 1st Ave, New York, NY, 10009, 244 Madison Ave, New York, NY, 10016, 70 W 71st St, New York, NY, 10023, 207 Madison St, New York, NY, 10002, 239 W 105th St, New York, NY, 10025, 176 Prince St, New York, NY, 10012, 1643 2nd Avenue, New York, NY, 10028, 238 W 56th St, New York, NY, 10019, 232 E 64th St, New York, NY, 10065, 360 Amsterdam Ave, New York, NY, 10024, 1586 1st Ave, New York, NY, 10028, 961 Lexington Ave, New York, NY, 10021, 416 W 203rd St, New York, NY, 10034, 689 10th Ave, New York, NY, 10036, 231 W 46th St, New York, NY, 10036, 122 E 57th St, New York, NY, 10022, 5 E 19th St, New York, NY, 10003, 200 2nd Ave, New York, NY, 10003, 10 E 38th St, New York, NY, 10016, 73 New St, New York, NY, 10004, 263 1st Ave, New York, NY, 10003, 726 W 181st St, New York, NY, 10033, 245 5th Ave, New York, NY, 10016, 1634 York Ave, New York, NY, 10028, 513 E 6th St, New York, NY, 10009, 521 3rd Ave, New York, NY, 10016, 295 Amsterdam Ave, New York, NY, 10023, 42 E 58th St, New York, NY, 10022, 75 9th Ave, New York, NY, 10011, 795 9th Ave, New York, NY, 10019, 303 Madison Ave, New York, NY, 10017, 2027 Lexington, New York, NY, 10035, 12 Park Ave, New York, NY, 10016, 128 E 7th St, New York, NY, 10009, 164 Mulberry St, New York, NY, 10013, 603 Fort Washington Ave, New York, NY, 10040, 150 W 4th St, New York, NY, 10012, 183 9th Ave, New York, NY, 10011, 371 1st Ave, New York, NY, 10010, 46 Greenwich Ave, New York, NY, 10011, 212 Pearl St, New York, NY, 10038, 1470 1st Ave, New York, NY, 10075, 561 7th Ave, New York, NY, 10018, 941 Amsterdam Ave, New York, NY, 10025, 2733 Fredrick Douglass Blvd, New York, NY, 10039, 180 Spring St, New York, NY, 10012, 108 8th Ave, New York, NY, 10011, 1290 Ave of the Americas, New York, NY, 10104, 85 Greenwich St, New York, NY, 10006, 432 Columbus Ave, New York, NY, 10024, 88 Fulton St, New York, NY, 10038, 1 5th Ave, New York, NY, 10003, 3341 Broadway Ave, New York, NY, 10031, 1229 1st Ave, New York, NY, 10065, 67 Nassau St, New York, NY, 10038, 189 E Broadway, New York, NY, 10002, 1406 Third Ave, New York, NY, 10075, 41 E 20th St, New York, NY, 10003, 110 Lexington Ave, New York, NY, 10016, 33 University Place, New York, NY, 10003, 58 Greenwich Ave, New York, NY, 10011, 112 Dyckman St, New York, NY, 10040, 173 3rd Ave, New York, NY, 10003, 117 Avenue D, New York, NY, 10009, 259 W 19th St, New York, NY, 10011, 607 2nd Ave, New York, NY, 10016, 78 E 1st St, New York, NY, 10009, 205 Thompson St, New York, NY, 10012, 167 E 33rd St, New York, NY, 10016, 839 Lexington Ave, New York, NY, 10065, 186 Columbus Ave, New York, NY, 10023, 108 West 40th St, New York, NY, 10018, 78 E 1st St, New York, NY, 10009, 1354 1st Avenue, New York, NY, 10021, 437 3rd Ave, New York, NY, 10016, 2130 Broadway Ave, New York, NY, 10023, 253 W 11th St, New York, NY, 10014, 345 Greenwich St, New York, NY, 10013, 664 6th Ave, New York, NY, 10010, 205 W 29th St, New York, NY, 10001, 98 Avenue B, New York, NY, 10009, 231 Sullivan St, New York, NY, 10012, 39 W 19th St, New York, NY, 10011, 521 W 207th St, New York, NY, 10034, 212 W 57th St, New York, NY, 10019, 936 8th Ave, New York, NY, 10019, 522 Columbus Ave, New York, NY, 10024, 51 W 35th St, New York, NY, 10001, 220 W 49th St, New York, NY, 10019, 819 9th Ave, New York, NY, 10019, 358 W 44th St, New York, NY, 10036, 25 Broad St, New York, NY, 10004, 513 2nd Ave, New York, NY, 10016, 739 Broadway Ave, New York, NY, 10003, 224 W 104th St, New York, NY, 10024, 90 E 42nd St, New York, NY, 10017, 793 Broadway, New York, NY, 10003, 420 Madison Ave Frnt A, New York, NY, 10017, 585 3rd Ave, New York, NY, 10016, 271 Bleecker St, New York, NY, 10014, 1125 Lexington Ave, New York, NY, 10075, 1443 York Ave Ste 1, New York, NY, 10075, 128 W 36th St, New York, NY, 10018, 810 W 181st St, New York, NY, 10033, 201 W 79th St, New York, NY, 10024, 210 1st Ave, New York, NY, 10009, 47 W 56th St, New York, NY, 10019, 519 3rd Ave Ste 5, New York, NY, 10016, 1144 1st Ave, New York, NY, 10065, 249 Park Ave S, New York, NY, 10003, 489 3rd Ave, New York, NY, 10016, 251 E 35th St, New York, NY, 10016, 7 Park Ave, New York, NY, 10016, 12 W 32nd St, New York, NY, 10001, 88 2nd Ave, New York, NY, 10003, 1129 Amsterdam Ave, New York, NY, 10025, 953 Amsterdam St, New York, NY, 10025, 96 2nd Ave, New York, NY, 10003, 229 Columbus Ave, New York, NY, 10023, 60 E 56th St, New York, NY, 10022, 45 Catherine St, New York, NY, 10038, 18 E 33rd St, New York, NY, 10016, 2641 Broadway Ave, New York, NY, 10025, 1356 1st Ave, New York, NY, 10021, 156 10th Ave, New York, NY, 10011, 2441 Broadway Ave, New York, NY, 10024, 792 Lexington Ave, New York, NY, 10065, 1329 2nd Ave, New York, NY, 10021, 994 Amsterdam Ave, New York, NY, 10025, 93 University Pl, New York, NY, 10003, 199 Water St, New York, NY, 10038, 300 E 45th St, New York, NY, 10017, 46-19 30th Ave, New York, NY, 11103, 1150 Lexington Ave, New York, NY, 10075, 134 W 46th St, New York, NY, 10036, 1070 2nd Ave, New York, NY, 10022, 1428 York Ave, New York, NY, 10021, 285 Columbus Ave, New York, NY, 10023, 218 E 10th St, New York, NY, 10003, 31 8th Ave, New York, NY, 10014, 4162 Broadway, New York, NY, 10033, 381 3rd Ave, New York, NY, 10016, 528 Columbus Ave, New York, NY, 10024, 256 W 52nd St, New York, NY, 10019, 2649 Frederick Douglas Blvd, New York, NY, 10030, 1038 1st Ave, New York, NY, 10022, 62 Charles St, New York, NY, 10014, 33 E 60th St, New York, NY, 10065, 574 6th Ave, New York, NY, 10011, 551 5th Avenue, New York, NY, 10176, 881 10th Ave, New York, NY, 10019, 285 Mott St, New York, NY, 10012, 800 2nd Ave, New York, NY, 10017, 111 Fulton St, New York, NY, 10038, 945 Amsterdam Ave, New York, NY, 10025, 60 W 65th St, New York, NY, 10023, 491 Columbus Ave 491 Columbus Ave, New York, NY, 10024, 231 E 50th St, New York, NY, 10022, 411a Amsterdam Ave, New York, NY, 10024, 355 Amsterdam Ave, New York, NY, 10023, 49 Bayard St, New York, NY, 10013, 484 Amsterdam Ave, New York, NY, 10024, 401 Bleecker St, New York, NY, 10014, 33 Irving Pl, New York, NY, 10003, 166 E 118th St Ste 3, New York, NY, 10035, 181 Avenue C, New York, NY, 10009, 3431 Broadway Ave, New York, NY, 10031, 641 2nd Ave Ste 1, New York, NY, 10016, 118 Chambers St, New York, NY, 10007, 1980 Adam Clayton Powell Jr Blvd, New York, NY, 10026, 1215 3rd Ave, New York, NY, 10021, 2119 1st Ave, New York, NY, 10029, 52 Vanderbilt Ave, New York, NY, 10017, 121 W 45th St, New York, NY, 10036, 449 3rd Ave, New York, NY, 10016, 51 Chrystie St, New York, NY, 10002, 28 Cornelia St, New York, NY, 10014, 43 W 54th St, New York, NY, 10019, 350 E 53rd St, New York, NY, 10022, 3864 10th Ave, New York, NY, 10034, 160 Broadway, New York, NY, 10038, 178 Lexington Ave, New York, NY, 10016, 300 W 114th St, New York, NY, 10026, 89 E 42nd St, New York, NY, 10017, 184 Prince St, New York, NY, 10012, 124 Macdougal St, New York, NY, 10012, 38 Lexington Ave, New York, NY, 10010, 1467 York Ave, New York, NY, 10075, 1071 1st Ave, New York, NY, 10022, 231-10A Northern Blvd, New York, NY, 11362, 376 West Broadway, New York, NY, 10012, 77 Pearl St, New York, NY, 10004, 30 West 32nd st, New York, NY, 10001, 321 Lenox Ave, New York, NY, 10027, 1453 3rd Ave, New York, NY, 10028, 60 Beaver St, New York, NY, 10004, 807 8th Ave, New York, NY, 10019, 47 W 14th St, New York, NY, 10011, 2493 Adam Clayton Powell Jr Blvd, New York, NY, 10030, 138 E 34th St, New York, NY, 10016, 2282 Broadway Ave, New York, NY, 10024, 2276 12th Ave, New York, NY, 10027, 3861 Broadway Ave, New York, NY, 10032, 136 Avenue C, New York, NY, 10009, 176 Perry St, New York, NY, 10014, 25 Cedar St, New York, NY, 10005, 222 Lexington Ave, New York, NY, 10016, 3662 Broadway, New York, NY, 10031, 152 E 46th St, New York, NY, 10017, 1361 Ave of the Americas, New York, NY, 10019, 174 7th Ave, New York, NY, 10011, 1024 Amsterdam Ave, New York, NY, 10025, 1057 Lexington Ave, New York, NY, 10021, 2210 Broadway, New York, NY, 10024, 47 Bond St, New York, NY, 10012, 110 6th Ave, New York, NY, 10013, 54 Greenwich Ave, New York, NY, 10011, 990 Columbus Ave, New York, NY, 10025, 1075 1st Ave, New York, NY, 10065, 236 5th Ave, New York, NY, 10001, 3161 Broadway Ave, New York, NY, 10027, 502 6th Ave, New York, NY, 10011, 61 Grove St, New York, NY, 10014, 237 E 53rd St, New York, NY, 10022, 3183 Broadway, New York, NY, 10027, 971 Lexington Ave, New York, NY, 10021, 934 Amsterdam Ave, New York, NY, 10025, 17 W 32nd St, New York, NY, 10001, 75 W 68th St, New York, NY, 10023, 1238 2nd Ave, New York, NY, 10065, 22 Mott Street, New York, NY, 10013, 2321 1st avenue New York, New York, NY, 10035, 140 West 4th Street, New York, NY, 10012, 46 Mulberry St, New York, NY, 10013, 1229 1st Ave, New York, NY, 10065, 63 Bayard St, New York, NY, 10013, 405 E 6th St, New York, NY, 10009, 94 Charlton St, New York, NY, 10014, 711 2nd Ave, New York, NY, 10016, 2038 Amsterdam Ave, New York, NY, 10032, 184 3rd Ave, New York, NY, 10003, 234 W 42nd St, New York, NY, 10036, 828 8th Avenue, New York, NY, 10019, 347 W 46th St, New York, NY, 10036, 625 Columbus Ave, New York, NY, 10024, 2026 Lexington Ave, New York, NY, 10035, 53 W 35th St, New York, NY, 10001, 14 Mott St, New York, NY, 10013, 2 Times Sq, New York, NY, 10036, 251 W 85th St, New York, NY, 10024, 56 Beaver St, New York, NY, 10004, 588 Broadway Ground Level, New York, NY, 10012, 247 Dyckman St, New York, NY, 10034, 103 Waverly Pl, New York, NY, 10011, 375 Broome St, New York, NY, 10013, 644 9th Ave, New York, NY, 10036, 12 E 46th St, New York, NY, 10017, 148 W 67th St, New York, NY, 10023, 1641 York Ave, New York, NY, 10028, 3920 Broadway Ave, New York, NY, 10032, 1228 Lexington Ave, New York, NY, 10028, 711 2nd Ave, New York, NY, 10016, 90 Washington St, New York, NY, 10006, 4020 Broadway Ave, New York, NY, 10032, 151 E 43rd St, New York, NY, 10017, 3645 Broadway, New York, NY, 10031, 148 E 46th St, New York, NY, 10017, 4 W 22nd St, New York, NY, 10010, 322 East 86th street, New York, NY, 10028, 37-01 30th Ave, New York, NY, 11103, 943 1st Ave, New York, NY, 10022, 160 E 38th St, New York, NY, 10016, 362 W 45th St, New York, NY, 10036, 126 Rivington St, New York, NY, 10002, 1320 York Ave, New York, NY, 10021, 468 W 47th St, New York, NY, 10036, 386 Canal St, New York, NY, 10013, 877 8th Ave, New York, NY, 10019, 246 3rd Ave, New York, NY, 10010, 1850 3rd Ave, New York, NY, 10029, 967 Lexington Ave, New York, NY, 10021, 98 7th Ave, New York, NY, 10011, 102 W 73rd St,, New York, NY, 10023, 460 9th Ave, New York, NY, 10018, 10 Pell St, New York, NY, 10013, 162 E 25th St, New York, NY, 10010, 1022 Madison Ave, New York, NY, 10075, 1577 York Ave, New York, NY, 10028, 827 W 181st St, New York, NY, 10033, 4325 Broadway, New York, NY, 10033, 295 Greenwich St, New York, NY, 10007, 4195 Broadway, New York, NY, 10033, 214 10th Ave, New York, NY, 10011, 364 3rd Ave, New York, NY, 10016, 696 2nd Ave, New York, NY, 10016, 221 Columbus Ave, New York, NY, 10023, 21 S End Ave, New York, NY, 10280, 600 W 218th St, New York, NY, 10034, 510 Amsterdam Ave, New York, NY, 10024, 1496 Amsterdam Ave, New York, NY, 10031, 965 Amsterdam Ave, New York, NY, 10025, 381 Park Ave S, New York, NY, 10016, 213 E 45th St, New York, NY, 10017, 160 E 28th St, New York, NY, 10016, 170 E 81st St, New York, NY, 10028, 1680 1st Ave, New York, NY, 10128, 1634 Madison Ave, New York, NY, 10029, 156 E 64th St, New York, NY, 10065, 630 9th Ave, New York, NY, 10036, 403 E 12th St, New York, NY, 10009, 3151 Broadway Ave, New York, NY, 10027, 1069 1st Ave, New York, NY, 10022, 88 10th Ave, New York, NY, 10011, 18 E 54th St, New York, NY, 10022, 4179 Broadway Ave, New York, NY, 10033, 246 E 44th St, New York, NY, 10017, 856 7th Ave, New York, NY, 10019, 390 5th Ave, New York, NY, 10018, 1762 1st Ave, New York, NY, 10028, 133 Essex St, New York, NY, 10003, 858 9th Ave, New York, NY, 10019, 303 E 85th St, New York, NY, 10028, 1484 Amsterdam, New York, NY, 10031, 249 Columbus Ave, New York, NY, 10023, 340 W 46th St, New York, NY, 10036, 1460 2nd Ave, New York, NY, 10075, 592 9th Ave, New York, NY, 10036, 41 Carmine Ave, New York, NY, 10014, 954 2nd Ave, New York, NY, 10022, 310 2nd Ave, New York, NY, 10003, 1570 2nd Ave, New York, NY, 10028, 141 W 38th St, New York, NY, 10018, 342 Seventh Avenue, New York, NY, 10001, 796 9th Ave, New York, NY, 10019, 2553 Amsterdam Ave, New York, NY, 10033, 2 E 33rd St, New York, NY, 10016, 225 W Broadway, New York, NY, 10013, 395 2nd Ave, New York, NY, 10010, 97 MacDougal St, New York, NY, 10012, 96 Chambers St, New York, NY, 10007",https://www.allmenus.com/ny/new-york/146680-malecon/menu/,https://www.allmenus.com/ny/new-york/146680-malecon/menu/,https://www.allmenus.com/ny/new-york/146680-malecon/menu/
Malecon,/ny/new-york/146680-malecon/menu/,Dominican,"5592 Broadway, New York, NY, 10463",https://www.allmenus.com/ny/new-york/146680-malecon/menu/,https://www.allmenus.com/ny/new-york/146680-malecon/menu/,https://www.allmenus.com/ny/new-york/146680-malecon/menu/
Dyckman Express Restaurant,/ny/new-york/47960-dyckman-express-restaurant/menu/,"Caribbean, Latin American","101 Dyckman St, New York, NY, 10040",https://www.allmenus.com/ny/new-york/47960-dyckman-express-restaurant/menu/,https://www.allmenus.com/ny/new-york/47960-dyckman-express-restaurant/menu/,https://www.allmenus.com/ny/new-york/47960-dyckman-express-restaurant/menu/
Cafeteria,/ny/new-york/3112-cafeteria/menu/,Diner,"119 7th Ave, New York, NY, 10011",https://www.allmenus.com/ny/new-york/3112-cafeteria/menu/,https://www.allmenus.com/ny/new-york/3112-cafeteria/menu/,https://www.allmenus.com/ny/new-york/3112-cafeteria/menu/
Jimbo's Hamburger Palace,/ny/new-york/47963-jimbos-hamburger-palace/menu/,"American, Burgers","117 Dyckman St, New York, NY, 10040",https://www.allmenus.com/ny/new-york/47963-jimbos-hamburger-palace/menu/,https://www.allmenus.com/ny/new-york/47963-jimbos-hamburger-palace/menu/,https://www.allmenus.com/ny/new-york/47963-jimbos-hamburger-palace/menu/
Del Frisco's Double Eagle Steakhouse,/ny/new-york/247022-del-friscos-double-eagle-steakhouse/menu/,Steak,"1221 6th Ave, New York, NY, 10020",https://www.allmenus.com/ny/new-york/247022-del-friscos-double-eagle-steakhouse/menu/,https://www.allmenus.com/ny/new-york/247022-del-friscos-double-eagle-steakhouse/menu/,https://www.allmenus.com/ny/new-york/247022-del-friscos-double-eagle-steakhouse/menu/
Katz's Delicatessen,/ny/new-york/2596-katzs-delicatessen/menu/,"Deli Food, Eastern European, Sandwiches","205 E Houston St, New York, NY, 10002",https://www.allmenus.com/ny/new-york/2596-katzs-delicatessen/menu/,https://www.allmenus.com/ny/new-york/2596-katzs-delicatessen/menu/,https://www.allmenus.com/ny/new-york/2596-katzs-delicatessen/menu/
Neptune Diner,/ny/new-york/114423-neptune-diner/menu/,Diner,"31-05 Astoria Blvd, New York, NY, 11102",https://www.allmenus.com/ny/new-york/114423-neptune-diner/menu/,https://www.allmenus.com/ny/new-york/114423-neptune-diner/menu/,https://www.allmenus.com/ny/new-york/114423-neptune-diner/menu/
Carmine's Theatre District,/ny/new-york/2859-carmines-theatre-district/menu/,Italian,"200 W 44th St, New York, NY, 10036",https://www.allmenus.com/ny/new-york/2859-carmines-theatre-district/menu/,https://www.allmenus.com/ny/new-york/2859-carmines-theatre-district/menu/,https://www.allmenus.com/ny/new-york/2859-carmines-theatre-district/menu/
Jimbo's Hamburger Palace,/ny/new-york/48072-jimbos-hamburger-palace/menu/,"Burgers, Sandwiches","3869 10th Ave, New York, NY, 10034",https://www.allmenus.com/ny/new-york/48072-jimbos-hamburger-palace/menu/,https://www.allmenus.com/ny/new-york/48072-jimbos-hamburger-palace/menu/,https://www.allmenus.com/ny/new-york/48072-jimbos-hamburger-palace/menu/
